Length,Width,Area,Angel,X-Centre,Y-Centre,Area_total,,
37.4386,23.9799,705.1109,32.1224,47.3578,798.7993,,,
52.1131,23.0828,944.7674,87.2806,263.5671,824.2995,,,
142.6771,37.8537,4241.8199,146.4226,1075.9091,855.2355,,,
39.5052,17.0496,529.0022,161.7145,2909.168,814.8676,,,
29.8239,23.8684,559.086,126.8542,160.7491,822.3767,,,
61.6597,50.9815,2468.9021,3.6635,2617.1618,844.5775,,,
72.7559,15.4451,882.5717,145.9377,1992.7858,843.8982,,,
40.7034,22.8073,729.1103,12.6805,2845.0689,842.8636,,,
109.8763,30.5562,2636.8983,78.9466,3008.8384,894.1971,,,
50.9183,26.1179,1044.4835,141.1241,1117.7698,845.0389,,,
52.2231,19.2762,790.6301,96.1218,192.4748,852.2969,,,
30.9836,15.5714,378.921,139.3729,72.322,838.2769,,,
43.8538,16.6445,573.2829,164.3521,2899.3195,843.5597,,,
48.0451,12.8635,485.3975,93.0236,2775.8575,854.0718,,,
63.9476,41.6802,2093.3613,118.4472,2416.3188,864.0436,,,
49.6141,25.8502,1007.3012,176.694,1238.6681,861.6119,,,
58.5272,28.0904,1291.2385,129.569,1831.3226,875.4233,,,
34.6121,27.965,760.2082,159.4377,2549.3045,858.4858,,,
83.1083,24.6292,1607.6257,30.761,852.2061,883.0091,,,
52.6185,15.5652,643.2531,112.0137,1915.6181,882.0478,,,
70.4183,36.5301,2020.3488,89.067,2921.6225,906.8877,,,
45.0709,14.9155,527.9881,147.6087,95.6876,880.9234,,,
32.1785,21.5602,544.8891,82.9246,2042.804,883.0757,,,
86.0174,22.8756,1545.43,162.2477,1641.3432,890.4567,,,
22.9489,20.573,370.8085,120.7021,2838.8965,883.2294,,,
44.2522,10.7663,374.1888,119.2281,1308.8315,893.5724,,,
28.5905,23.1671,520.2136,4.2509,1992.6634,891.1077,,,
72.7168,37.2339,2126.4873,160.6931,2105.0169,913.7142,,,
141.2499,74.9123,8310.5733,26.7995,945.8971,979.6007,,,
102.1086,36.5899,2934.3564,51.5047,2730.237,952.0083,,,
110.4752,60.0331,5208.8967,79.2552,1079.7324,961.7799,,,
72.8819,17.9813,1029.2726,75.353,1583.5524,936.7886,,,
91.7571,35.6145,2566.59,160.1974,1494.3916,949.1846,,,
48.6146,17.697,675.7031,111.918,1704.5606,931.705,,,
40.9085,18.3689,590.1839,2.0067,896.0311,918.5117,,,
65.0792,30.381,1552.8664,157.4584,2187.7854,930.272,,,
24.4032,16.7545,321.1195,53.4666,931.1493,920.9841,,,
116.3438,55.6547,5085.5192,86.117,2024.3687,976.2807,,,
49.2497,30.3147,1172.5933,86.546,1882.5393,948.0467,,,
33.5255,17.3819,457.6798,117.5735,1180.7998,934.1868,,,
49.537,12.2328,475.9329,125.9325,1755.3969,942.1408,,,
218.7901,67.611,11618.1044,126.3303,1466.9912,1080.6372,,,
30.1367,14.995,354.9216,122.7798,3085.3344,940.4618,,,
62.4778,16.9871,833.5587,96.4752,118.0379,972.7921,,,
46.3135,34.3461,1249.324,105.8846,1645.1898,969.9225,,,
27.6689,18.4634,401.2304,34.3837,467.4426,961.4592,,,
36.4437,25.5085,730.1244,11.5636,2856.2836,961.77,,,
38.0324,26.6269,795.3624,74.5115,2799.0429,968.1756,,,
27.0854,15.6991,333.9643,108.9158,2289.4984,967.4978,,,
58.5924,32.1946,1481.5441,56.7701,2349.8782,986.129,,,
57.7416,22.957,1041.1033,108.7001,335.3294,986.933,,,
36.4434,13.5338,387.3716,159.0714,425.659,975.4353,,,
110.5791,39.0997,3395.7545,128.5137,1192.7285,1013.6347,,,
28.8354,22.3583,506.3548,32.69,1913.2553,982.2884,,,
37.2664,14.8286,434.0184,129.7692,2564.7676,990.9526,,,
38.0467,25.0106,747.3634,26.5647,2214.6618,990.6636,,,
56.3773,21.7949,965.0487,53.9814,2427.6283,998.0105,,,
95.2373,67.4692,5046.6468,38.0696,1657.8125,1044.9171,,,
24.7728,21.9423,426.92,83.8398,2931.304,991.1628,,,
27.0853,16.0328,341.0627,159.1131,2962.5962,988.9809,,,
40.9638,17.0939,549.9594,107.6291,1096.7166,1006.025,,,
37.5077,14.0677,414.4132,115.3399,293.8598,1005.7073,,,
30.4457,16.0727,384.3294,35.1018,2886.599,1006.999,,,
45.283,30.7082,1092.1444,102.9321,1793.4692,1020.9093,,,
34.727,11.4762,313.007,67.0618,796.3666,1017.9812,,,
35.0587,16.3148,449.2293,51.9915,407.939,1021.2061,,,
47.7605,21.7441,815.6436,158.8622,2514.9786,1022.023,,,
79.7164,29.4294,1842.55,132.3598,1764.485,1055.5794,,,
78.4663,58.8477,3626.6225,67.9138,2566.581,1077.5325,,,
33.6881,27.4673,726.7442,12.661,1903.9586,1035.1379,,,
31.703,14.8922,370.8085,127.5965,375.7375,1038.6564,,,
25.0152,21.4888,422.1877,51.5326,2634.3384,1038.755,,,
32.3362,18.5269,470.5246,5.1313,77.9233,1045.9052,,,
25.051,21.0114,413.3991,82.8063,809.6082,1059.2778,,,
35.6442,26.624,745.3353,123.1698,774.6489,1068.6602,,,
41.1763,19.7232,637.8448,161.3725,1141.4126,1067.414,,,
58.4881,21.8619,1004.2591,54.0496,656.5688,1087.4818,,,
53.592,34.5159,1452.8123,138.0169,1308.8593,1080.8034,,,
42.0383,13.3911,442.1309,144.6647,2422.8518,1074.0506,,,
23.6019,19.5297,362.02,28.9325,33.1289,1068.9095,,,
65.056,28.9761,1480.53,128.5373,2314.1996,1096.2732,,,
252.1657,103.7561,20548.9454,42.8971,2574.7891,1219.9639,,,
30.691,12.803,308.6128,34.7537,2370.3313,1077.3221,,,
33.5443,26.8537,707.477,4.9521,2182.5088,1081.3363,,,
47.425,19.2753,717.9557,171.1395,1046.046,1077.284,,,
95.5365,20.6864,1552.1904,117.5342,1956.4845,1131.1799,,,
90.538,57.6754,4101.2034,104.4826,2254.6937,1137.1961,,,
97.6261,16.8624,1292.9286,22.9985,2788.6801,1097.049,,,
41.7929,10.1641,333.6263,102.8551,2515.5277,1099.2292,,,
33.8727,15.6663,416.7793,112.9638,1732.0543,1093.3918,,,
31.8279,19.4584,486.4116,15.8007,2915.9508,1094.2008,,,
63.5636,56.1102,2801.1763,95.6076,2420.6313,1129.2002,,,
44.3769,10.0669,350.8653,119.2954,2159.2749,1118.6623,,,
82.8791,50.5371,3289.616,86.1174,759.8675,1152.2918,,,
81.7184,38.4728,2469.2401,64.3604,955.7677,1153.282,,,
68.4275,29.3598,1577.8799,61.8019,598.8229,1146.1068,,,
46.2206,30.374,1102.623,69.1077,1913.9554,1144.5498,,,
72.6986,24.6394,1406.8415,135.9902,3039.5718,1155.1848,,,
64.8258,12.1694,619.5917,141.6116,2965.8796,1147.9895,,,
82.8179,24.726,1608.3018,30.1155,2822.8393,1175.9267,,,
74.3764,31.7044,1852.0146,141.1335,2507.6659,1161.0378,,,
42.7349,9.2854,311.6549,94.8616,902.6377,1150.6854,,,
37.0185,13.8583,402.9205,129.3098,1244.3948,1143.3354,,,
41.5068,18.5604,605.0568,172.0462,833.9372,1145.3147,,,
31.9074,21.5141,539.1428,13.4726,1873.6336,1152.5226,,,
52.7798,16.7326,693.6182,10.1968,2039.9993,1153.8734,,,
53.9267,30.3352,1284.8161,57.3028,40.5223,1173.6618,,,
57.7029,14.2906,647.6474,44.6629,2069.566,1185.7255,,,
100.207,28.4839,2241.7523,77.4986,1376.7552,1240.6928,,,
50.6208,22.0034,874.7972,98.2199,1335.4231,1205.7284,,,
79.5109,22.5121,1405.8275,51.6309,1698.7509,1210.1529,,,
41.7591,32.7637,1074.5673,4.4633,2013.0598,1202.2498,,,
27.5912,26.3147,570.2407,68.0743,689.3751,1200.7522,,,
61.4553,14.4405,696.9984,116.5044,312.1535,1214.4903,,,
133.0033,86.2262,9007.2336,170.6115,2961.0774,1247.3239,,,
34.4091,16.1976,437.7366,149.858,2205.187,1206.3255,,,
68.4915,32.1098,1727.285,108.9016,629.2822,1238.6304,,,
45.6666,12.3837,444.159,100.6321,904.4702,1221.836,,,
67.8217,40.0228,2131.8956,77.7475,1492.2321,1263.0999,,,
110.7554,25.0522,2179.2185,41.6064,38.6348,1243.7292,,,
48.8378,27.7681,1065.1028,144.7112,846.5704,1227.8818,,,
55.3993,23.3683,1016.7658,95.3191,1898.0763,1237.0856,,,
39.9125,19.539,612.4932,160.4392,2090.982,1219.8486,,,
33.2427,23.1745,605.0568,7.8449,2644.0399,1223.3055,,,
56.8241,14.5116,647.6474,121.0579,766.9627,1238.4962,,,
95.9439,31.7906,2395.5516,158.2008,2838.209,1242.6582,,,
68.929,34.1538,1848.9724,150.2787,2272.0298,1260.8765,,,
79.8231,13.0047,815.3056,151.2627,2369.0036,1258.5985,,,
37.5439,19.8202,584.4375,116.1723,1829.197,1254.8558,,,
48.5791,21.1916,808.5452,179.6048,1438.4382,1253.983,,,
59.9734,23.538,1108.7074,87.3794,2675.697,1272.371,,,
